CODICE TIPO ENTE CREDITORE,TIPO ENTE CREDITORE,"# Progressivo
Macro Area per Ente Creditore","NOME
MACRO AREA","DESCRIZIONE
MACRO AREA","CODICE 
TIPOLOGIA SERVIZIO",TIPO SERVIZIO,"Motivo Giuridico della riscossione
IM: Imposta
TS: Tassa
SP: Servizio Pubblico
SA: Sanzioni
AP: Altri Pagamenti","DESCRIZIONE
TIPO SERVIZIO",# VERSIONE TASSONOMIA,DATI SPECIFICI DI INCASSO,DATA INIZIO VALIDITA',DATA FINE VALIDITA',,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,01,TRIBUTI,Rappresentano le maggiori entrate dell'Ente e si completano con le attività legate alla gestione e al recupero dell'evasione/elusione.,100,"Rendite catastali (ICI, IMU, TUC, ecc.)",IM,"L'Imu dal 2012 ha sostituito l'ICI. La legge 147/2013 inserisce l'IMU, insieme alla Tasi e alla Tari nella IUC (imposta unica comunale). La legge di bilancio 2020 ha modificato la disciplina dell'Imu-Tasi eliminando quest'ultima e accorpandola allaa ""nuova IMU"". Il presupposto dell'IMU è il possesso di fabbricati, escluse le abitazioni principali; aree fabbricabili e terreni agricoli.",10,9/0101100IM/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,01,,,101,"ANNO IN CORSO - Tasse sui rifiuti (TARI, TIA, TARSU, TARES, ecc.)",IM,"La Tari sostituisce dal 2014 la Tarsu, Tia e Tares ed è il corrispettivo dovuto al comune a fronte del servizio di raccolta e smaltimento rifiuti sul proprio territorio. (ANNO IN CORSO)",10,9/0101101IM/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,01,,,102,COSAP/TOSAP ,TS,Tassa occupazione suolo pubblico,10,9/0101102TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,01,,,103,Imposta di affissione pubblicitaria ICP,IM,Imposta comunale sulla Pubblicità (ICP),10,9/0101103IM/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,01,,,104,Numeri civici,TS,Pagamento del costo del numero Civico,10,9/0101104TS/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,01,,,105,Imposta di soggiorno,IM,Imposta di carattere locale applicata a carico delle persone che alloggiano nelle strutture ricettive di territori classificati come località turistica o città d'arte,10,9/0101105IM/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,01,,,106,Sanzioni amministrative,SA,"Sono tutte quelle che non rientrano nelle sanzioni penali e che non hanno conseguenze sul casellario giudiziario del trasgressore. Sono sempre collegate ad una misura economica. Esempi: violazioni delle norme tributarie, norme in materia di tutela del lavoro, violazioni in materia ambientale urbanistica, etc.",10,9/0101106SA/,01/01/1900,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,01,,,107,Canone Unico Patrimoniale,TS,"La Legge di Bilancio 2020 (Legge n. 160/2019) ha previsto, a decorrere dal 1° gennaio 2021, l’istituzione  di un “canone unico patrimoniale” che unifica in un solo prelievo TOSAP, COSAP, l’imposta comunale sulla PUBBLICITÀ e AFFISIONI, ed altre imposte locali. ",10,9/0101107TS/,15/02/2021,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,01,,,108,Canone Unico Patrimoniale - CORPORATE ,TS,"(SOLUZIONE CENTRALE GESTITA DA PAGOPA) La Legge di Bilancio 2020 (Legge n. 160/2019) ha previsto, a decorrere dal 1° gennaio 2021, l’istituzione  di un “canone unico patrimoniale” che unifica in un solo prelievo TOSAP, COSAP, l’imposta comunale sulla PUBBLICITÀ e AFFISIONI, ed altre imposte locali. Questa soluzione è gestita centralmente da Pagopa S.p.a.",10,9/0101108TS/,01/04/2021,01/01/2080,,,,,,,,,,,,,,,,,,
01,COMUNE/UNIONE DI COMUNI / CONSORZI,01,,,109,"ANNI PRECEDENTI - Tasse sui rifiuti (TARI, TIA, TARSU, TARES, ecc.)",IM,"La Tari sostituisce dal 2014 la Tarsu, Tia e Tares ed è il corrispettivo dovuto al comune a fronte del servizio di raccolta e smaltimento rifiuti sul proprio territorio. (ANNO IN CORSO)",10,9/0101109IM/,01/04/2021,01/01/2080,,,,,,,,,,,,,,,,,,
